Temperature_Internal,Humidity_Internal,Temperature_External,Moisture_A,Moisture_B,Moisture_C,Time
1,1,0,0,0,0,2014-06-17 20:40:29
1,1,0,0,0,0,2014-06-17 20:41:09
1,1,0,0,0,0,2014-06-17 20:41:49
1,1,0,0,0,0,2014-06-17 20:42:29
1,1,0,0,0,0,2014-06-17 20:43:09
1,1,0,0,0,0,2014-06-17 20:43:49
1,1,0,0,0,0,2014-06-17 20:44:29
1,1,0,0,0,0,2014-06-17 20:45:09
1,1,0,0,0,0,2014-06-17 20:45:49
1,1,0,0,0,0,2014-06-17 20:46:28
1,1,0,0,0,0,2014-06-17 20:47:09
1,1,0,0,0,0,2014-06-17 20:47:49
1,1,0,0,0,0,2014-06-17 20:48:29
1,1,0,0,0,0,2014-06-17 20:49:09
1,1,0,0,0,0,2014-06-17 20:49:49
1,1,0,0,0,0,2014-06-17 20:50:29
1,1,0,0,0,0,2014-06-17 20:51:09
1,1,0,0,0,0,2014-06-17 20:51:49
1,1,0,0,0,0,2014-06-17 20:52:29
1,1,0,0,0,0,2014-06-17 20:53:09
1,1,0,0,0,0,2014-06-18 15:23:44
1,1,0,0,0,0,2014-06-18 15:24:24
1,1,0,0,0,0,2014-06-18 15:25:04
1,1,0,0,0,0,2014-06-18 15:25:45
1,1,0,0,0,0,2014-06-18 15:26:24
1,1,0,0,0,0,2014-06-18 15:27:04
1,1,0,0,0,0,2014-06-18 15:27:44
1,1,0,0,0,0,2014-06-18 15:28:24
1,1,0,0,0,0,2014-06-18 15:29:04
1,1,0,0,0,0,2014-06-18 15:29:44
1,1,0,0,0,0,2014-06-18 15:30:24
1,1,0,0,0,0,2014-06-18 15:31:04
1,1,0,0,0,0,2014-06-18 15:31:44
1,1,0,0,0,0,2014-06-18 15:32:24
1,1,0,0,0,0,2014-06-18 15:33:04
1,1,0,0,0,0,2014-06-18 15:33:44
1,1,0,0,0,0,2014-06-18 15:34:24
1,1,0,0,0,0,2014-06-18 15:35:04
1,1,0,0,0,0,2014-06-18 15:35:44
1,1,0,0,0,0,2014-06-18 15:36:24
1,1,0,0,0,0,2014-06-18 15:37:05
1,1,0,0,0,0,2014-06-18 15:37:44
1,1,0,0,0,0,2014-06-18 15:38:24
1,1,0,0,0,0,2014-06-18 15:39:04
1,1,0,0,0,0,2014-06-18 15:39:44
1,1,0,0,0,0,2014-06-18 15:40:24
1,1,0,0,0,0,2014-06-18 15:41:04
1,1,0,0,0,0,2014-06-18 15:41:44
1,1,0,0,0,0,2014-06-18 15:42:24
1,1,0,0,0,0,2014-06-18 15:43:04
1,1,0,0,0,0,2014-06-18 15:43:44
1,1,0,0,0,0,2014-06-18 15:44:24
1,1,0,0,0,0,2014-06-18 15:45:04
1,1,0,0,0,0,2014-06-18 15:45:44
1,1,0,0,0,0,2014-06-18 15:46:24
1,1,0,0,0,0,2014-06-18 15:47:04
1,1,0,0,0,0,2014-06-18 15:47:46
1,1,0,0,0,0,2014-06-18 15:48:25
1,1,0,0,0,0,2014-06-18 15:49:04
1,1,0,0,0,0,2014-06-18 15:49:44
1,1,0,0,0,0,2014-06-18 15:50:24
1,1,0,0,0,0,2014-06-18 15:51:04
1,1,0,0,0,0,2014-06-18 15:51:44
1,1,0,0,0,0,2014-06-18 15:52:25
1,1,0,0,0,0,2014-06-18 15:53:04
1,1,0,0,0,0,2014-06-18 15:53:44
1,1,0,0,0,0,2014-06-18 15:54:24
1,1,0,0,0,0,2014-06-18 15:55:04
1,1,0,0,0,0,2014-06-18 15:55:44
